번호,분류,개체/사건명,확인된 사실,출처(1차 확인),확인방식,재검증 필요 여부,비고
1,학교,오산학교,1907년 이승훈이 평안북도 정주에 설립. 신민회 결의에 따른 설립.,한국민족문화대백과사전 / 우리역사넷,웹검색 교차확인,권장,최초 팩트체크 시 확인됨
2,학교,대성학교,안창호가 평양에 설립. 오산학교가 이를 모델로 삼음.,한국민족문화대백과사전,웹검색,권장,오산학교와 함께 확인
3,학교,숭실학교,"1897년 평양, 미국 북장로교 선교사 배위량(W.M.Baird) 설립. 105인사건·3.1운동의 중심지 역할.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,권장,
4,학교,보성학교,"1905년 서울, 이용익 설립. 부속 인쇄소 보성사에서 3.1운동 독립선언서 인쇄. 현 고려대 전신.",한국민족문화대백과사전,웹검색,권장,
5,학교,신흥무관학교,"1911년 서간도, 신민회 결의로 이회영·이시영·이동녕·이상룡 등이 설립한 군사학교. 1920년까지 약 3500명 졸업.",우리역사넷 / 위키백과,웹검색 교차확인,권장,계몽운동-무장투쟁을 잇는 핵심 노드로 지목됨
6,단체,신민회,1907년 조직된 비밀결사. 안창호·이승훈·양기탁 등이 중심. 애국계몽운동 및 국외 무관학교 설립 결의.,한국민족문화대백과사전,웹검색,권장,
7,단체,대한독립군,1919년 3.1운동 직후 홍범도가 창설. 1920년 봉오동전투 승리.,위키백과 / 한국민족문화대백과사전,웹검색,권장,신민회 계열과 별개 계통(무장투쟁)으로 명시
8,단체,북로군정서,1919년 8월 서일·김좌진 등이 조직. 자체 사관연성소 운영.,위키백과,웹검색,권장,
9,단체,대한민국임시정부,"1919년 4월 11일 상해 수립. 이승만 초대 대통령, 이동휘 국무총리.",한국민족문화대백과사전,웹검색,권장,
10,단체,조선물산장려회,1920년 8월 23일 조만식 등이 평양에서 창립.,한국민족문화대백과사전,웹검색,권장,
11,단체,신간회,1927년 결성. 민족주의·사회주의 협동전선. 조만식 평양지회장.,한국민족문화대백과사전,웹검색,권장,
12,사건,삼일운동,1919년 3월 1일 전민족적 독립운동. 민족대표 33인.,한국민족문화대백과사전,웹검색,불필요(널리 알려진 사실),
