번호,분류,개체/사건명,확인된 사실,출처(1차 확인),확인방식,재검증 필요 여부,비고
1,학교,오산학교,1907년 12월 24일 이승훈이 평안북도 정주에 설립. 신민회 결의에 따른 설립.,한국민족문화대백과사전 / 우리역사넷 / 독립운동인명사전,웹검색 교차확인,완료,"v6에서 개교일을 1907-12-01(추정)에서 1907-12-24(정부DB 포함 다출처 일치, 확정)로 재검증함"
2,학교,대성학교,안창호가 1907년 평양에 설립.,한국민족문화대백과사전,웹검색,권장,v6에서 오산학교와의 succeedByPersonTo(승계) 관계를 삭제함 - 승계가 아니라 같은 교육구국운동 계열의 병렬적 설립 사례로 재정의
3,학교,숭실학교,"1897년 평양, 미국 북장로교 선교사 배위량(W.M.Baird) 설립. 105인사건·3.1운동의 중심지 역할.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,권장,
4,학교,보성학교,"1905년 서울, 이용익 설립. 현 고려대 전신.",한국민족문화대백과사전,웹검색,권장,v8에서 부속 인쇄소 '보성사'를 별도 Group으로 분리 - 아래 보성사 항목 참조
5,학교,신흥무관학교,"1911년 서간도, 신민회 결의로 이회영·이시영·이동녕·이상룡 등이 설립 주도. 1920년까지 약 3500명 졸업.",우리역사넷 / 위키백과,웹검색 교차확인,권장,v8에서 '신흥무관학교'라는 명칭이 1911년 설립 당시부터 공식명이었는지 자체가 불확실함을 확인 - 아래 신흥강습소 항목 참조. 이 항목은 오늘날 통용되는 기관 전체 명칭으로 유지
6,학교,신흥강습소,1911년 서간도 삼원포에서 설립 당시의 정식 명칭. 이회영·이시영·이동녕·이상룡 등이 공동설립을 주도. 1912년 합니하로 이전.,우리역사넷 / 나무위키,웹검색 교차확인,권장,[v8 신규] 4인의 '공동설립' 대상을 신흥무관학교에서 이 항목으로 정정함. 신흥무관학교로의 개칭 시점·개칭 여부 자체가 사료마다 다르게 서술되어(일부는 공식명이 계속 신흥강습소였다고 서술) '개칭' Event 자체에 존재 불확실성 표시를 부여함
7,단체,신민회,1907년 조직된 비밀결사. 안창호·이승훈·양기탁 등이 중심. 애국계몽운동 및 국외 무관학교 설립 결의.,한국민족문화대백과사전 / Encyves Wiki,웹검색 교차확인,완료,v7에서 창건위원·중심인물 공식 명단(안창호·양기탁·전덕기·이동휘·이동녕·이갑·유동열·노백린·이승훈·안태국·최광옥·이시영·이회영·이상재·윤치호·이강·조성환·김구·신채호·박은식·임치정·이종호·주진수)을 확인함
8,단체,대한독립군,1919년 3.1운동 직후 홍범도가 창설. 1920년 봉오동전투 승리.,위키백과 / 한국민족문화대백과사전,웹검색,권장,신민회 계열과 별개 계통(무장투쟁)으로 명시
9,단체,북로군정서,"1919년 8월 서일·김좌진 등이 조직. 자체 사관연성소 운영. 서일=총재, 김좌진=군사지휘관으로 역할이 다름.",위키백과 / 한국민족문화대백과사전,웹검색,권장,[P1 미해결] 서일/김좌진의 '공동설립'이라는 단일 관계가 실제 역할 비대칭(총재 vs 군사지휘관)을 가리는 것은 아닌지 재검증 필요
10,단체,대한민국임시정부,1919년 4월 11일 상해 수립.,한국민족문화대백과사전,웹검색,완료,"v8에서 이승만(1919-09-11 통합정부 대통령 선출)·이동휘(1919-09, 출처간 8월말~11월3일 편차 있어 ±2개월 처리) 소속 시점을 창립일 자동상속에서 개별 확정으로 교정함"
11,단체,조선물산장려회,1920년 8월 23일 조만식 등이 평양에서 창립.,한국민족문화대백과사전,웹검색,완료,v6에서 조만식의 설립 이벤트 날짜를 1920-01-01(placeholder)에서 1920-08-23(이 항목의 확인값)로 통일함
12,단체,신간회,1927년 결성. 민족주의·사회주의 협동전선. 조만식 평양지회장.,한국민족문화대백과사전,웹검색,권장,[P1 미해결] 조만식·박희도의 신간회 가입 시점 여전히 미상
13,단체,보성사,보성학교 부속 인쇄소. 이종일이 사장으로 인쇄 실무를 총괄. 3.1운동 독립선언서 인쇄.,국회도서관 / Encyves Wiki,웹검색,완료,[v8 신규] 이종일의 '경영' 대상이 그래프상 보성학교로 되어 있어 코멘트('실제로는 보성사')와 데이터가 충돌하던 v7까지의 구조적 결함을 이 Group 신설로 해소함
14,사건,삼일운동,1919년 3월 1일 전민족적 독립운동. 민족대표 33인.,한국민족문화대백과사전 / Encyves Wiki,웹검색 교차확인,완료,v7에서 손병희·이승훈·한용운·오세창·최린·이종일 6인의 참여 날짜를 1919-03-01로 확정(태화관 불참 4인 명단에 없음을 확인). 정춘수는 반대로 그 4인 명단에 포함되어 날짜를 부여하지 않음
15,사건,안악사건,1910년 안명근이 서간도 무관학교 자금 모집 중 황해도 신천에서 체포된 사건.,한국민족문화대백과사전(안악사건/안명근/105인사건 3개 항목 교차확인),웹검색 교차확인,권장,"v6에서 안명근체포 날짜를 1910-11-01(±10일)에서 1910-12-01(±1개월, 평양역 체포로 3개 항목 일치)로 재검증. [P1 미해결] '안명근참여안악사건' 관계와 기존 체포→확대 이벤트 체인 간 의미 중복 정리 필요"
16,사건,105인사건,"1911년, 일제가 안악사건을 확대·조작해 신민회 인사 105인을 기소.",우리역사넷 / 한국민족문화대백과사전,웹검색 교차확인,완료,v6에서 안명근체포→백오인사건 직결 구조를 안명근체포→안악사건→백오인사건 2단계 확대 구조로 재구성함
17,사건,봉오동전투,"1920년 6월 6일~7일, 홍범도의 대한독립군이 일본군을 대파.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,완료,v6에서 사건 자체 날짜를 1920-01-01(placeholder)에서 1920-06-07(±1일)로 확정. [P1 미해결] 홍범도 개인의 '참여' 이벤트에는 아직 Month 단위 보강이 반영 안 됨 - 우선순위 가장 높은 P1
18,사건,청산리전투,"1920년 10월 21일~26일, 김좌진의 북로군정서와 홍범도의 대한독립군 연합 승리.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,완료,v6에서 사건 자체 날짜를 1920-01-01(placeholder)에서 1920-10-21(±5일)로 확정. [P1 미해결] 홍범도/김좌진/이범석 개인의 '참여' 이벤트에는 아직 Month 단위 보강 안 됨
19,사건,물산장려운동,1920년대 평양에서 시작된 국산품 애용 운동.,한국민족문화대백과사전,웹검색,권장,"조선물산장려회(1920-08-23, 평양 지역 조직) 창립일과는 별개 값. 전국적 확산 운동으로서의 정확한 개시일은 아직 미확인"
20,인물,이승훈,"1864~1930. 오산학교 설립자, 신민회 회원, 105인사건 연루, 3.1운동 민족대표 33인.",한국민족문화대백과사전,웹검색,권장,생몰년 재확인 권장. v6에서 오산학교 설립일을 1907-12-24로 확정하며 이승훈 항목도 함께 재검증됨
21,인물,안창호,"대성학교 설립자, 신민회 주도, 임시정부 참여.",한국민족문화대백과사전,웹검색,완료,v7에서 신민회 소속(1907년) 시점을 공식 명단과 교차확인해 확정함
22,인물,조만식,오산학교 교사·교장 역임. 3.1운동 가담 후 옥고. 조선물산장려회·신간회 주도.,한국민족문화대백과사전,웹검색,권장,v7에서 '애초에 33인이 아니며 평양 지역 시위 가담으로 성격이 다름'을 명시함(삼일운동 참여 날짜 미부여 유지 사유)
23,인물,유영모,오산학교 교장 역임. 함석헌을 가르침.,위키백과,웹검색,권장,"1차 확인만 진행, 추가 교차확인 권장. [P1 미해결] 함석헌과의 '사사' 관계 자체의 근거 재검증 필요"
24,인물,함석헌,"오산학교 졸업, 유영모에게 사사.",위키백과,웹검색,권장,[P1 미해결] 재직/졸업 사실관계 확인 및 '사사' 직접 사승 관계 확인 필요
25,인물,양기탁,신민회 회원.,한국민족문화대백과사전,웹검색,완료,"v7에서 신민회 공식 창건위원 명단에 포함됨을 확인, 1907년(Year 추정) 소속 시점 부여"
26,인물,안명근,안중근의 사촌동생. 안악사건의 주역.,우리역사넷,웹검색,권장,v6에서 체포일 1910-12-01로 재검증. [P1 미해결] '참여' 관계와 체포/확대 이벤트 체인 간 의미 중복 정리 필요(위 안악사건 항목 참조)
27,인물,홍범도,"1868~1943. 대한독립군 창설, 봉오동·청산리전투 참전.",한국민족문화대백과사전,웹검색,권장,"[P1 최우선] 전투 자체 날짜는 이미 확정(봉오동 1920-06-07, 청산리 1920-10-21)되어 있어, 홍범도 개인의 '참여' 이벤트에 Month 단위 추정치를 보강하는 작업이 근거상 가장 용이함"
28,인물,배위량(W.M.Baird),미국 북장로교 선교사. 숭실학교 설립자.,위키백과,웹검색,권장,영문 표기/생몰년 재확인 권장
29,인물,최광옥,숭실학교 1회 졸업생이자 신민회 평안남도 조직 지도자.,한국민족문화대백과사전,웹검색,완료,"학교-단체 연결고리로 특히 중요했던 항목. v7에서 신민회 공식 명단 포함 확인, 1907년(Year 추정) 소속 시점 부여"
30,인물,차이석,숭실학교 1회 졸업생. 대한민국 임시정부 요인.,한국민족문화대백과사전,웹검색,완료,"v7에서 '1919년 임정 창립' 자동상속 대신, 확인된 '1933년 임시정부 재건 참여'를 반영함(사건 시점 자동상속 금지 원칙의 실제 적용 사례)"
31,인물,이용익,보성학교 설립자. 1907년 사망.,한국민족문화대백과사전,웹검색,권장,
32,인물,이종호,"이용익의 손자. 보성학교 경영, 신민회 가담, 안중근 의거 배후 인물로 지목되어 망명.",위키백과,웹검색,권장,안중근 의거 연루 부분은 특히 재검증 권장. 이종일(보성사 경영)과는 대상이 다름(이종호=보성학교 자체 경영권)
33,인물,손병희,천도교 지도자. 민족대표 33인 핵심. 보성학교 인수 주도.,한국민족문화대백과사전,웹검색,권장,[P1 미해결] 천도교 소속 시점 재검증 필요 - 관계 자체(천도교 지도자)는 강하게 확인되나 '언제부터'가 미상. 삼일운동 참여 날짜(1919-03-01)는 v7에서 확정됨
34,인물,이회영,신민회 발족·헤이그특사 파견 주도. 신흥강습소 공동설립 참여.,위키백과 / 우리역사넷,웹검색 교차확인,완료,v8에서 설립 대상을 신흥무관학교에서 신흥강습소로 정정. v7에서 hasEventType을 :설립에서 :공동설립으로 변경
35,인물,이시영,"신흥강습소 공동설립 참여. 이후 임시정부 참여, 초대 대한민국 부통령.",한국민족문화대백과사전,웹검색,권장,"v8에서 임시정부 소속 시점 관련 인용을 채택했으나 원문 URL을 이번 세션에서 직접 재확인하지 못했음을 명시함 - 다른 임시정부 항목(이승만·이동휘)과 검증 신뢰도가 다름, 재확인 우선 필요"
36,인물,이동녕,"신흥강습소 공동설립 참여. 임시의정원 초대 의장, 임시정부 국무총리 역임.",한국민족문화대백과사전,웹검색,권장,v8에서 '1919년 4월 13일 임시의정원 의장 선임' 인용을 채택했으나 원문 URL 미재확인 - 이시영과 동일한 사유로 재확인 우선 필요
37,인물,이상룡,안동 유림 출신. 신흥강습소 공동설립 참여. 양기탁 등의 권유로 만주 이주.,한국민족문화대백과사전,웹검색,권장,[P1 미해결] '영향'(이상룡→양기탁) 관계의 근거 문구 자체가 가장 해석적인 관계유형이라 재검증 필요
38,인물,지청천,"일본육사 출신 장교였다가 망명, 신흥무관학교 교관 합류. 이후 광복군 총사령관.",위키백과,웹검색,권장,[P1 미해결] 재직 사실관계 확인 필요
39,인물,이종일,보성사 사장. 독립선언서 인쇄를 총괄.,한국민족문화대백과사전,웹검색,완료,"인쇄 매수(2만1천매) 재확인 권장은 유지. v8에서 그래프의 '경영' 대상을 보성학교에서 보성사로 정정해, v7까지 있던 코멘트-데이터 불일치 구조적 결함을 해소함"
40,인물,한용운,"민족대표 33인, 불교계 대표. 시인.",한국민족문화대백과사전,웹검색,완료,v7에서 삼일운동 참여 날짜 1919-03-01로 확정
41,인물,오세창,"민족대표 33인, 천도교 대표. 독립선언서 원고를 보성사로 전달.",한국민족문화대백과사전,웹검색,권장,[P1 미해결] 천도교 소속 시점 재검증 필요(손병희 항목과 동일 사유). 삼일운동 참여 날짜는 v7에서 확정됨
42,인물,김좌진,1889~1930. 북로군정서 이끌고 청산리대첩 지휘.,위키백과 / 한국민족문화대백과사전,웹검색 교차확인,보류(v8),v7에서 신민회 공식 창건위원 명단에 김좌진이 포함되지 않음을 발견. v8에서 삭제 대신 hasValidationStatus '검증보류' 속성을 신설해 이 관계를 활성 그래프에서 격리 처리함(향후 반증자료 발견 시 복원 용이)
43,인물,서일,북로군정서 총재로 조직 결성을 주도.,위키백과 / 한국민족문화대백과사전,웹검색,권장,[P1 미해결] 서일(총재)과 김좌진(군사지휘관)의 역할 비대칭이 '공동설립'이라는 단일 관계로 뭉뚱그려져 있음 - 위 북로군정서 항목 참조
44,인물,이범석,신흥무관학교 교관 합류 후 북로군정서 연성대장으로 청산리전투 참전.,위키백과,웹검색,권장,신흥무관학교-청산리전투 연결고리로 중요. [P1 미해결] 재직 사실관계 및 청산리전투 참여 Month 보강 필요
45,인물,이승만,임시정부 초대 대통령.,한국민족문화대백과사전,웹검색,완료,v8에서 대한민국임시정부 소속 시점을 1919-09-11(통합임시정부 대통령 선출)로 확정. 실제 상해 현지 부임(1920-12-08)과는 다른 사건임을 구분함
46,인물,이동휘,임시정부 국무총리.,한국민족문화대백과사전,웹검색,완료,"v8에서 직접 재검색: 위키백과·세계한민족문화대전('8월말 도착·취임')과 우리역사넷('9월18일 도착, 11월3일 취임')이 불일치해 억지로 하나를 택하지 않고 1919-09(±2개월)로 넓게 처리함"
47,인물,최린,"천도교, 독립선언서 초안 작성. 이후 변절, 1934년 중추원 참의.",한국민족문화대백과사전 / 위키백과,웹검색 교차확인,권장,"전향 연도(1934) 재검증 권장은 유지. '임명→전향' 두 이벤트를 '중추원참의임명(사실)'과 '전향(해석)'으로 분리하자는 안이 있었으나, 출처가 정확한 전향 시점을 직접 지지하지 않아 현재 형태 유지 결정(v6)"
48,인물,정춘수,"감리회 목사, 원산 만세운동 지도. 1934년 흥업구락부 사건 후 전향.",한국민족문화대백과사전,웹검색,완료,v7에서 '태화관 불참 4인' 명단에 포함됨을 확인 - 33인 서명자이나 3/1 당일 참여 형태가 다름을 이유로 삼일운동 참여 날짜를 부여하지 않음(의도적 보류)
49,인물,박희도,"숭실중학교 졸업. 3.1운동 옥고, 신간회 활동 이후 전향해 친일반민족행위자로 규정.",친일인명사전 / 위키백과,웹검색,권장,숭실학교 졸업 사실이 핵심 연결고리 - 재검증 우선순위 높음은 유지. v7에서 '초기 별도 조직을 꾸리려다 이후 합류한 복잡한 경위'가 확인되어 삼일운동 참여 시점 확정을 보류함
